rfootrx,rfootrz,rtibiarx,Left GRF,Right GRF,OSL_phase
-0.5406086,0.1601372,0.2487273,0,112.478,1
-0.5379729,0.1598236,0.2494639,0,110.9719,1
-0.5361632,0.1594471,0.2508985,0,106.6126,1
-0.5334218,0.1586318,0.2533316,0,105.2219,1
-0.5312687,0.1574711,0.2566926,0,102.3766,1
-0.5280927,0.1557205,0.2610756,0,102.7349,1
-0.5252414,0.1535221,0.2666164,0,101.3944,1
-0.5212183,0.1507717,0.2731708,0,102.6806,1
-0.51727,0.1476394,0.2810341,0,102.0236,1
-0.5119334,0.1440881,0.2899203,0,103.3343,1
-0.5064367,0.1403079,0.3001885,0,102.8801,1
-0.4991089,0.1362053,0.3115762,0,104.1448,1
-0.4904605,0.1318887,0.3241658,0,136.2615,1
-0.481272,0.1274297,0.3388172,0,127.9189,1
-0.470344,0.1228952,0.3551205,0,126.3073,1
-0.4579492,0.1181214,0.3734326,4.005171,164.3432,1
-0.4445355,0.1133938,0.3936496,34.39259,162.6968,1
-0.429437,0.1082458,0.4158124,171.9441,155.2721,1
-0.4121404,0.1028771,0.4400147,469.286,152.0403,1
-0.391809,0.09562849,0.465037,319.9613,133.6689,1
-0.3674656,0.09031117,0.4900643,197.8403,124.1909,1
-0.3424462,0.08509368,0.5126361,119.3875,112.953,1
-0.3161721,0.08193095,0.5344865,93.29114,108.2008,1
-0.2901452,0.07783356,0.5551958,96.08842,77.42302,1
-0.2607974,0.07442234,0.5750391,79.98133,70.75436,1
-0.2325267,0.06928086,0.5964702,69.81345,46.30091,1
-0.2028359,0.06387273,0.618356,64.77336,34.32585,1
-0.1802124,0.05731342,0.6420782,68.37881,28.1993,1
-0.1600097,0.05120376,0.6653761,69.01092,16.10597,1
-0.1550464,0.04534649,0.6895242,70.75266,13.52008,1
-0.1464852,0.03959312,0.712438,69.11935,2.042506,1
-0.1548332,0.03443516,0.7376267,75.49332,1.491514,1
-0.1559373,0.02886404,0.7637546,76.46013,0,2
-0.1715871,0.02486356,0.7914477,83.05641,0,2
-0.1779355,0.01996914,0.8192081,82.27376,0,2
-0.1976537,0.01785859,0.8463511,84.7488,0,2
-0.2076735,0.01402205,0.8720257,82.70521,0,2
-0.2299514,0.013383,0.8963311,85.87257,0,2
-0.242552,0.01066282,0.918991,84.42066,0,2
-0.2661847,0.01102076,0.9400507,87.84452,0,2
-0.2804972,0.009149947,0.9597002,86.14909,0,2
-0.3044141,0.01031401,0.9770821,89.32384,0,2
-0.3196701,0.009566509,0.9927845,88.04284,0,2
-0.3430475,0.01138197,1.0057,90.29069,0,2
-0.3586438,0.01146882,1.017221,89.37263,0,2
-0.3808757,0.01371002,1.025867,90.44543,0,2
-0.3963456,0.01435465,1.033552,89.9969,0,2
-0.416928,0.01685811,1.038371,89.54345,0,2
-0.4318823,0.01783092,1.042537,89.36578,0,2
-0.4503941,0.02047644,1.04383,87.32563,0,2
-0.4644653,0.02159799,1.04458,87.24834,0,2
-0.4805864,0.02429965,1.042425,83.90948,0,2
-0.4934191,0.02545182,1.039682,83.81234,0,2
-0.5069392,0.02815133,1.033998,79.80966,0,2
-0.5182153,0.02927861,1.027596,79.67227,0,2
-0.5287214,0.03180535,1.01834,74.50294,0,3
-0.5380691,0.03289315,1.008241,73.71841,0,3
-0.545353,0.03510829,0.995488,67.9601,0,3
-0.5525897,0.03621653,0.9818308,67.09625,0,3
-0.5568697,0.03820878,0.9655595,63.29877,0,3
-0.5620929,0.03944701,0.9483492,63.15781,0,3
-0.5636859,0.04140455,0.9284183,63.18781,0,3
-0.5671547,0.04288079,0.907564,63.72368,0,3
-0.566308,0.04501157,0.8840303,67.41984,0,3
-0.5682887,0.04686538,0.8596904,68.01215,0,3
-0.5651647,0.04933934,0.8330076,103.5962,0,3
-0.5658453,0.05171962,0.805745,103.6154,0,3
-0.5605865,0.0547095,0.7766913,112.2727,0,3
-0.5600972,0.05771256,0.747239,110.8147,0,3
-0.5530543,0.061274,0.7166481,118.7368,0,3
-0.5515736,0.06488679,0.6858441,116.7739,0,3
-0.5432889,0.06874261,0.6546316,155.463,0,3
-0.5411093,0.07276303,0.6235862,152.6566,0,3
-0.5321168,0.07667875,0.5928149,161.4832,0,3
-0.5295516,0.08076447,0.5626221,157.9611,0,3
-0.5204399,0.08426836,0.5332802,163.7808,0,3
-0.5177624,0.08780956,0.5048981,158.479,0,3
-0.5089112,0.0899847,0.477919,213.8826,0,3
-0.5058647,0.09204189,0.4527437,204.2461,0,3
-0.4964576,0.09211931,0.4300219,203.0985,0,3
-0.4924801,0.0924921,0.4101693,146.0113,0,3
-0.481946,0.09049322,0.393178,194.4144,0,3
-0.476849,0.08934528,0.3792457,189.2925,0,3
-0.4643838,0.0854335,0.3671584,190.1676,0,3
-0.457835,0.08300202,0.3579038,186.5638,0,3
-0.4431229,0.0773503,0.3495787,187.3656,0,3
-0.4348589,0.07385765,0.3438962,184.9561,0,3
-0.4185302,0.06707302,0.3384572,183.0788,0,3
-0.4087344,0.06269625,0.3354517,181.0139,0,3
-0.3910531,0.05503953,0.3321971,175.4847,0,3
-0.3800041,0.04982372,0.331204,173.5387,0,3
-0.3611199,0.04144281,0.3297394,246.0863,0,3
-0.3491349,0.03551906,0.3304782,243.1176,0,3
-0.3287633,0.02682635,0.3302462,223.4248,0,3
-0.3160839,0.02044669,0.3321168,220.1175,0,3
-0.3028673,0.01298901,0.3344606,201.7556,0.1289616,3
-0.2922134,0.00740007,0.3389729,205.3452,15.33616,3
-0.2635593,0.003041373,0.3463385,164.2765,240.8171,3
-0.231173,-0.00250076,0.3691601,159.7983,548.1902,0
-0.2137665,-0.007163273,0.3974293,133.6844,429.302,0
-0.2138364,-0.01284976,0.4158572,116.689,142.138,0
-0.2088575,-0.01578653,0.4289207,90.23236,148.4188,0
-0.2027738,-0.01952275,0.4427675,73.3462,126.3583,0
-0.2164064,-0.0239754,0.4610766,62.76431,107.3619,0
-0.2411412,-0.02838221,0.4782555,53.75939,96.68572,0
-0.2641371,-0.03202911,0.4921313,55.68809,82.94744,0
